1998-10-05/11:26:51      187.560      40.7800      11.5700      53.0000      3.07954     0.601815    0.0429252
1998-10-05/11:27:11      187.360      39.2700      9.52000      57.0000      2.14938     0.544639    0.0314617
1998-10-05/11:27:32      187.500      38.1000      9.31000      52.0000      3.18256     0.615661    0.0437710
1998-10-05/11:27:52      188.220      36.7600      9.41000      60.0000      2.45967     0.500000    0.0371779
1998-10-05/11:28:12      188.720      35.2700      9.33000      59.0000      2.31453     0.515038    0.0346263
1998-10-05/11:28:32      188.730      33.5100      9.35000      62.0000      2.05042     0.469472    0.0315977
1998-10-05/11:28:51      188.240      31.7700      8.96000      60.0000      2.45967     0.500000    0.0371779
1998-10-05/11:29:11      187.710      30.0700      9.18000      64.0000      3.47634     0.438371    0.0545331
1998-10-05/13:16:13      193.740      74.8400      9.22000      127.000      3.57709     0.601815    0.0498604
1998-10-05/13:16:33      189.510      70.8400      9.22000      126.000      3.44405     0.587785    0.0486300
1998-10-05/13:16:52      188.160      68.9000      9.13000      121.000      2.86288     0.515038    0.0428298
1998-10-05/13:17:12      187.450      67.2300      9.13000      121.000      2.56239     0.515038    0.0383344
1998-10-05/13:17:32      186.670      65.4300      9.33000      125.000      2.54251     0.573576    0.0363500
1998-10-05/13:17:52      185.750      63.4400      9.27000      125.000      1.84329     0.573576    0.0263533
1998-10-05/13:18:13      185.340      61.8800      9.21000      118.000      3.10994     0.469472    0.0479252
1998-10-05/13:18:33      185.000      60.3800      9.33000      134.000      2.70510     0.694658    0.0339621
1998-10-05/13:18:53      184.650      58.8300      9.41000      118.000      2.91367     0.469472    0.0449007
1998-10-05/13:19:13      184.400      57.4400      9.42000      120.000      2.97762     0.500000    0.0450067
1998-10-05/13:19:32      184.220      56.2100      9.42000      127.000      2.74226     0.601815    0.0382239
1998-10-05/13:19:52      184.130      55.0300      9.40000      127.000      3.82036     0.601815    0.0532513
1998-10-05/13:20:12      184.090      53.9000      9.39000      121.000      7.33576     0.515038     0.109746
1998-10-05/13:20:32      183.960      52.7300      9.41000      121.000      2.75133     0.515038    0.0411610
1998-10-05/13:20:53      183.930      51.7100      9.37000      127.000      3.32400     0.601815    0.0463326
1998-10-05/13:21:13      183.890      50.6200      9.26000      124.000      1.43726     0.559193    0.0207963
1998-10-05/13:21:33      183.860      49.5800      9.24000      122.000      2.11743     0.529919    0.0313406
1998-10-05/13:21:53      183.830      48.4800      9.23000      124.000      1.94146     0.559193    0.0280918
1998-10-05/13:22:12      183.800      47.4600      9.24000      126.000      2.65970     0.587785    0.0375550
1998-10-05/13:22:32      183.720      46.3000      9.24000      125.000      2.47499     0.573576    0.0353847
1998-10-05/13:22:52      183.640      45.1000      9.14000      121.000      2.94793     0.515038    0.0441022
1998-10-05/13:23:12      183.590      43.8600      9.10000      127.000      2.82921     0.601815    0.0394358
1998-10-05/13:23:33      183.570      42.5900      9.08000      130.000      2.71760     0.642788    0.0363343
