1998-09-24T00:00:02.5  267.000029    1.400  -2.561  -8.775   -2.787   0.994  -8.762    0.061  -1624.55   757.86  -384.46   1746.58   369.38  -417.56  0
1998-09-24T00:00:07.5  267.000087    1.729  -2.712  -8.518   -3.137   0.922  -8.498    0.067  -1626.07   758.74  -376.46   1748.43   369.81  -409.59  0
1998-09-24T00:00:12.5  267.000145    1.259  -2.766  -8.641   -2.797   1.247  -8.633    0.117  -1627.56   759.60  -368.45   1750.24   370.22  -401.61  0
1998-09-24T00:00:17.5  267.000203    1.105  -2.322  -8.812   -2.408   0.982  -8.803    0.109  -1629.01   760.44  -360.44   1752.01   370.63  -393.63  0
1998-09-24T00:00:22.5  267.000260    1.891  -3.463  -7.768   -3.710   1.439  -7.752    0.302  -1630.43   761.27  -352.42   1753.76   371.03  -385.65  0
1998-09-24T00:00:27.5  267.000318    2.292  -3.217  -7.716   -3.880   1.002  -7.687    0.244  -1631.82   762.09  -344.39   1755.46   371.43  -377.65  0
1998-09-24T00:00:32.5  267.000376    2.803  -2.931  -6.860   -4.101   0.485  -6.815    0.232  -1633.18   762.89  -336.37   1757.14   371.81  -369.65  0
1998-09-24T00:00:37.5  267.000434    3.054  -2.776  -6.903   -4.207   0.208  -6.851    0.357  -1634.50   763.68  -328.33   1758.78   372.19  -361.65  0
1998-09-24T00:00:42.5  267.000492    2.431  -4.305  -6.263   -4.627   1.818  -6.241    0.424  -1635.80   764.45  -320.29   1760.38   372.56  -353.63  0
1998-09-24T00:00:47.5  267.000550    3.224  -2.690  -7.188   -4.295   0.031  -7.131    0.574  -1637.06   765.20  -312.24   1761.95   372.93  -345.62  0
1998-09-24T00:00:52.5  267.000608    2.513  -2.623  -8.666   -3.709   0.374  -8.626    0.101  -1638.29   765.94  -304.19   1763.49   373.29  -337.59  0
1998-09-24T00:00:57.5  267.000666    2.734  -2.721  -8.310   -3.940   0.326  -8.265    0.279  -1639.49   766.67  -296.13   1764.99   373.64  -329.56  0
1998-09-24T00:01:02.5  267.000723    1.524  -2.615  -8.678   -2.917   0.964  -8.662    0.167  -1640.65   767.38  -288.07   1766.46   373.98  -321.52  0
1998-09-24T00:01:07.5  267.000781    1.234  -2.470  -8.743   -2.599   1.023  -8.733    0.044  -1641.78   768.07  -280.00   1767.88   374.31  -313.47  0
1998-09-24T00:01:12.5  267.000839    1.278  -2.390  -8.731   -2.586   0.933  -8.719    0.059  -1642.88   768.75  -271.92   1769.27   374.64  -305.42  0
