1998-09-08T00:00:02.5  251.000029    0.908  -4.713   1.358    2.605  -4.001   1.445    1.124    785.76    49.93  1663.61    721.81   381.45  1649.55  0
1998-09-08T00:00:07.5  251.000087    0.374  -6.747   1.031    2.864  -6.095   1.170    0.770    778.41    49.17  1667.07    715.29   378.11  1653.14  0
1998-09-08T00:00:12.5  251.000145    1.794  -3.834   1.108    3.099  -2.862   1.161    0.688    771.05    48.41  1670.50    708.76   374.76  1656.69  0
1998-09-08T00:00:17.5  251.000203    3.177  -2.892  -0.984    4.018  -1.528  -0.971    0.496    763.68    47.64  1673.89    702.22   371.41  1660.22  0
1998-09-08T00:00:22.5  251.000260    2.997  -0.685  -2.563    3.020   0.413  -2.594    0.302    756.29    46.88  1677.25    695.66   368.05  1663.71  0
1998-09-08T00:00:27.5  251.000318    3.613  -1.078  -2.674    3.736   0.274  -2.707    0.621    748.88    46.12  1680.57    689.09   364.68  1667.16  0
1998-09-08T00:00:32.5  251.000376    4.517  -1.874  -3.994    4.863  -0.163  -4.023    0.414    741.47    45.35  1683.87    682.51   361.31  1670.59  0
1998-09-08T00:00:37.5  251.000434    3.983  -2.549  -3.649    4.621  -0.979  -3.656    0.620    734.04    44.59  1687.13    675.92   357.93  1673.98  0
1998-09-08T00:00:42.5  251.000492    0.747  -3.106  -4.394    1.820  -2.718  -4.337    1.256    726.60    43.82  1690.36    669.31   354.54  1677.35  0
1998-09-08T00:00:47.5  251.000550    0.829  -0.947  -4.481    1.092  -0.686  -4.473    1.518    719.14    43.05  1693.55    662.70   351.15  1680.67  0
1998-09-08T00:00:52.5  251.000608   -0.843   2.827  -2.842   -1.853   2.236  -2.888    0.892    711.67    42.29  1696.72    656.07   347.75  1683.97  0
1998-09-08T00:00:57.5  251.000666    1.661   1.100  -4.330    1.104   1.527  -4.379    1.196    704.19    41.52  1699.85    649.42   344.34  1687.23  0
1998-09-08T00:01:02.5  251.000723    2.330  -2.007  -4.473    2.880  -1.111  -4.465    1.810    696.69    40.75  1702.94    642.77   340.92  1690.46  0
1998-09-08T00:01:07.5  251.000781    2.353  -6.084  -0.178    4.447  -4.775  -0.084    1.473    689.17    39.98  1706.00    636.09   337.50  1693.66  0
1998-09-08T00:01:12.5  251.000839    1.180  -5.797   1.991    3.266  -4.889   2.096    2.628    681.64    39.21  1709.03    629.41   334.07  1696.82  0
1998-09-08T00:01:17.5  251.000897    4.792  -4.869  -2.599    6.242  -2.803  -2.569    3.014    674.10    38.44  1712.02    622.71   330.64  1699.94  0
1998-09-08T00:01:22.5  251.000955    2.970  -4.212  -5.054    4.291  -2.934  -5.008    2.397    666.54    37.67  1714.97    616.00   327.20  1703.03  0
1998-09-08T00:01:27.5  251.001013    0.377   0.483  -4.915    0.138   0.462  -4.930    2.028    658.98    36.90  1717.90    609.28   323.75  1706.09  0
1998-09-08T00:01:32.5  251.001071    0.312   1.896  -4.352   -0.445   1.763  -4.396    1.223    651.39    36.12  1720.79    602.55   320.29  1709.12  0
1998-09-08T00:01:37.5  251.001128    3.041   0.480  -5.718    2.605   1.429  -5.774    1.005    643.80    35.35  1723.65    595.80   316.83  1712.12  0
1998-09-08T00:01:42.5  251.001186    4.071   1.171  -6.072    3.302   2.444  -6.159    0.928    636.19    34.58  1726.48    589.04   313.36  1715.08  0
1998-09-08T00:01:47.5  251.001244    1.889  -2.210  -5.995    2.536  -1.503  -5.976    0.275    628.57    33.81  1729.27    582.28   309.89  1718.01  0
1998-09-08T00:01:52.5  251.001302    0.280  -8.290  -2.137    3.332  -7.643  -1.963    2.078    620.94    33.03  1732.03    575.50   306.41  1720.91  0
