1998-06-24T00:00:02.5  175.000029    5.131  -2.962   7.424   -4.924   3.631   7.266    0.708    182.91  -595.74  1730.76   -152.62   635.02  1719.69  0
1998-06-24T00:00:07.5  175.000087    5.238  -2.948   6.309   -5.006   3.615   6.149    0.230    180.67  -588.40  1733.55   -151.33   627.51  1722.62  0
1998-06-24T00:00:12.5  175.000145    6.258  -4.058   6.254   -5.888   4.834   6.058    0.203    178.43  -581.05  1736.32   -150.03   619.98  1725.51  0
1998-06-24T00:00:17.5  175.000203    5.763  -3.989   6.084   -5.401   4.706   5.901    0.286    176.19  -573.69  1739.05   -148.72   612.45  1728.36  0
1998-06-24T00:00:22.5  175.000260    5.112  -4.877   7.835   -4.692   5.535   7.658    0.357    173.94  -566.33  1741.74   -147.42   604.91  1731.18  0
1998-06-24T00:00:27.5  175.000318    4.764  -4.900   7.910   -4.346   5.519   7.741    0.155    171.70  -558.95  1744.40   -146.11   597.35  1733.97  0
1998-06-24T00:00:32.5  175.000376    5.077  -6.284   6.164   -4.456   6.907   5.974    0.714    169.45  -551.56  1747.02   -144.80   589.79  1736.72  0
1998-06-24T00:00:37.5  175.000434    3.543  -4.239   7.423   -3.199   4.714   7.291    0.357    167.19  -544.17  1749.62   -143.49   582.21  1739.45  0
1998-06-24T00:00:42.5  175.000492    3.853  -4.647   7.699   -3.466   5.159   7.555    0.305    164.94  -536.76  1752.18   -142.17   574.63  1742.13  0
1998-06-24T00:00:47.5  175.000550    4.789  -5.500   7.061   -4.282   6.107   6.886    0.172    162.68  -529.34  1754.70   -140.85   567.03  1744.79  0
1998-06-24T00:00:52.5  175.000608    5.114  -5.578   6.598   -4.585   6.216   6.414    0.171    160.42  -521.92  1757.20   -139.53   559.42  1747.41  0
1998-06-24T00:00:57.5  175.000666    5.729  -5.458   6.579   -5.209   6.167   6.381    0.511    158.15  -514.48  1759.65   -138.21   551.81  1750.00  0
