1999-07-22T00:00:02.5  203.000029  -16.089  -6.902  -2.808  -10.892  13.612  -3.233    0.881  -1367.25   873.55   703.97    475.69  1567.10   667.80  0
1999-07-22T00:00:07.5  203.000087  -15.256  -3.503  -6.034   -7.370  13.627  -6.436    0.495  -1364.41   871.89   711.62    474.76  1564.12   675.53  0
1999-07-22T00:00:12.5  203.000145  -15.662  -5.156  -7.776   -9.059  13.536  -8.188    0.450  -1361.53   870.21   719.26    473.83  1561.10   683.24  0
1999-07-22T00:00:17.5  203.000203  -14.514  -5.368  -6.474   -8.970  12.406  -6.856    0.853  -1358.63   868.52   726.88    472.89  1558.06   690.93  0
1999-07-22T00:00:22.5  203.000260  -15.970  -6.712  -4.654  -10.664  13.500  -5.076    1.000  -1355.70   866.80   734.48    471.93  1554.97   698.60  0
1999-07-22T00:00:27.5  203.000318  -16.702  -5.873  -3.419  -10.058  14.459  -3.860    0.467  -1352.74   865.06   742.06    470.97  1551.86   706.26  0
1999-07-22T00:00:32.5  203.000376  -18.222  -4.874  -2.131   -9.506  16.222  -2.612    0.612  -1349.75   863.31   749.63    470.00  1548.71   713.90  0
1999-07-22T00:00:37.5  203.000434  -17.645  -4.663  -1.544   -9.155  15.736  -2.011    1.247  -1346.73   861.54   757.18    469.02  1545.53   721.53  0
1999-07-22T00:00:42.5  203.000492  -16.745  -6.766  -1.479  -10.945  14.313  -1.922    0.748  -1343.68   859.75   764.71    468.02  1542.32   729.14  0
1999-07-22T00:00:47.5  203.000550  -19.524  -5.638   0.437  -10.607  17.339  -0.080    0.773  -1340.61   857.94   772.23    467.02  1539.07   736.73  0
1999-07-22T00:00:52.5  203.000608  -16.693  -2.597   2.261   -6.938  15.461   1.818    1.710  -1337.50   856.11   779.73    466.01  1535.79   744.31  0
1999-07-22T00:00:57.5  203.000666  -14.159  -1.536   0.127   -5.230  13.246  -0.247    0.359  -1334.37   854.27   787.21    464.98  1532.48   751.87  0
1999-07-22T00:01:02.5  203.000723  -13.935  -0.942  -1.535   -4.585  13.145  -1.903    0.865  -1331.20   852.40   794.67    463.95  1529.13   759.42  0
1999-07-22T00:01:07.5  203.000781  -15.468  -3.395  -4.234   -7.337  13.904  -4.642    1.194  -1328.01   850.52   802.12    462.90  1525.74   766.94  0
