1998-10-19T00:00:02.5  292.000029   10.643  -3.396   0.898   -9.030   6.560   1.014    0.296   -175.93   -43.63 -1824.39    138.63   -39.33 -1827.70  0
1998-10-19T00:00:07.5  292.000087   10.654  -3.150   0.915   -9.117   6.330   1.036    0.348   -184.05   -44.45 -1823.63    146.61   -41.07 -1827.10  0
1998-10-19T00:00:12.5  292.000145   10.930  -3.668   0.666   -9.224   6.904   0.781    0.371   -192.16   -45.26 -1822.82    154.59   -42.81 -1826.45  0
1998-10-19T00:00:17.5  292.000203   10.745  -4.421   0.221   -8.824   7.556   0.318    0.270   -200.26   -46.08 -1821.98    162.56   -44.55 -1825.77  0
1998-10-19T00:00:22.5  292.000260   10.409  -4.418   0.244   -8.505   7.448   0.335    0.278   -208.36   -46.89 -1821.11    170.53   -46.29 -1825.05  0
1998-10-19T00:00:27.5  292.000318   10.598  -4.937  -0.077   -8.530   7.995   0.006    0.377   -216.45   -47.70 -1820.19    178.49   -48.03 -1824.30  0
1998-10-19T00:00:32.5  292.000376    9.378  -6.933  -0.977   -6.771   9.498  -0.956    0.240   -224.54   -48.51 -1819.25    186.45   -49.76 -1823.51  0
1998-10-19T00:00:37.5  292.000434    8.183  -7.623  -1.737   -5.438   9.770  -1.751    0.301   -232.62   -49.32 -1818.27    194.40   -51.50 -1822.69  0
1998-10-19T00:00:42.5  292.000492    8.314  -7.804  -1.591   -5.503   9.985  -1.606    0.186   -240.70   -50.13 -1817.25    202.35   -53.23 -1821.83  0
1998-10-19T00:00:47.5  292.000550    8.179  -7.770  -1.483   -5.383   9.912  -1.500    0.199   -248.77   -50.94 -1816.20    210.29   -54.97 -1820.94  0
1998-10-19T00:00:52.5  292.000608    8.564  -7.628  -1.563   -5.795   9.896  -1.571    0.118   -256.84   -51.74 -1815.12    218.23   -56.70 -1820.01  0
1998-10-19T00:00:57.5  292.000666    8.962  -7.297  -1.205   -6.267   9.711  -1.199    0.199   -264.90   -52.55 -1813.99    226.17   -58.43 -1819.05  0
1998-10-19T00:01:02.5  292.000723    9.126  -7.074  -1.298   -6.495   9.548  -1.284    0.101   -272.96   -53.35 -1812.83    234.10   -60.16 -1818.05  0
