1998-10-23T00:00:02.5  296.000029    1.014  -3.934   2.173   -2.827   2.894   2.205    0.157    725.41  -799.90 -1466.30  -1066.65   299.75 -1445.17  1
1998-10-23T00:00:07.5  296.000087    0.519  -3.973   1.848   -2.428   3.176   1.866    0.078    720.85  -795.08 -1471.20  -1060.39   297.85 -1450.19  1
1998-10-23T00:00:12.5  296.000145   -0.105  -4.053   2.040   -1.929   3.565   2.043    0.071    716.27  -790.24 -1476.06  -1054.11   295.95 -1455.18  1
1998-10-23T00:00:17.5  296.000203   -1.052  -4.017   1.755   -1.103   4.013   1.732    0.146    711.68  -785.39 -1480.89  -1047.81   294.04 -1460.14  1
1998-10-23T00:00:22.5  296.000260   -0.048  -4.196   1.986   -2.053   3.658   1.990    0.141    707.08  -780.52 -1485.70  -1041.48   292.13 -1465.07  1
1998-10-23T00:00:27.5  296.000318    0.120  -4.144   2.182   -2.165   3.531   2.190    0.070    702.46  -775.64 -1490.47  -1035.14   290.21 -1469.97  1
1998-10-23T00:00:32.5  296.000376    0.727  -4.089   2.115   -2.661   3.173   2.140    0.069    697.84  -770.74 -1495.21  -1028.78   288.29 -1474.84  1
1998-10-23T00:00:37.5  296.000434    0.934  -4.013   2.133   -2.799   3.002   2.162    0.048    693.20  -765.82 -1499.92  -1022.40   286.36 -1479.69  1
1998-10-23T00:00:42.5  296.000492    0.638  -3.991   2.083   -2.535   3.133   2.105    0.040    688.54  -760.90 -1504.60  -1016.00   284.42 -1484.50  1
1998-10-23T00:00:47.5  296.000550    0.413  -4.089   2.062   -2.392   3.332   2.078    0.031    683.87  -755.95 -1509.26  -1009.58   282.48 -1489.28  1
1998-10-23T00:00:52.5  296.000608    0.222  -4.146   2.085   -2.256   3.479   2.096    0.046    679.19  -751.00 -1513.88  -1003.14   280.53 -1494.04  1
1998-10-23T00:00:57.5  296.000666   -0.253  -4.215   2.065   -1.884   3.780   2.063    0.054    674.50  -746.02 -1518.47   -996.68   278.58 -1498.76  1
1998-10-23T00:01:02.5  296.000723   -0.064  -4.252   2.072   -2.065   3.716   2.075    0.059    669.79  -741.03 -1523.03   -990.20   276.62 -1503.45  1
1998-10-23T00:01:07.5  296.000781    0.113  -4.272   2.019   -2.228   3.641   2.027    0.065    665.07  -736.03 -1527.56   -983.69   274.66 -1508.11  1
1998-10-23T00:01:12.5  296.000839    0.162  -4.117   2.064   -2.191   3.484   2.073    0.072    660.33  -731.00 -1532.05   -977.17   272.69 -1512.73  1
1998-10-23T00:01:17.5  296.000897    0.151  -4.034   2.316   -2.133   3.421   2.325    0.050    655.58  -725.97 -1536.52   -970.62   270.71 -1517.33  1
1998-10-23T00:01:22.5  296.000955   -0.146  -3.994   2.538   -1.852   3.541   2.539    0.025    650.81  -720.91 -1540.95   -964.06   268.73 -1521.90  1
1998-10-23T00:01:27.5  296.001013   -0.679  -3.788   2.592   -1.288   3.637   2.578    0.057    646.03  -715.85 -1545.35   -957.47   266.74 -1526.43  1
