1998-08-21T00:00:02.5  233.000029  -12.176  12.309  -2.875    7.800 -15.531  -2.450    0.089   -744.44 -1448.53  -864.73   1155.06  1125.46  -894.07  0
1998-08-21T00:00:07.5  233.000087  -12.243  12.301  -2.844    7.866 -15.543  -2.418    0.082   -746.20 -1451.90  -857.53   1157.75  1128.33  -886.94  0
1998-08-21T00:00:12.5  233.000145  -12.338  12.260  -2.865    7.969 -15.533  -2.440    0.100   -747.95 -1455.23  -850.31   1160.41  1131.17  -879.79  0
1998-08-21T00:00:17.5  233.000203  -12.364  12.242  -2.888    8.000 -15.525  -2.463    0.090   -749.68 -1458.54  -843.08   1163.06  1133.99  -872.63  0
1998-08-21T00:00:22.5  233.000260  -12.479  12.183  -2.851    8.128 -15.503  -2.426    0.086   -751.39 -1461.81  -835.83   1165.68  1136.79  -865.45  0
1998-08-21T00:00:27.5  233.000318  -12.478  12.236  -2.996    8.110 -15.556  -2.569    0.101   -753.10 -1465.06  -828.56   1168.27  1139.57  -858.26  0
1998-08-21T00:00:32.5  233.000376  -12.440  12.325  -3.043    8.048 -15.631  -2.614    0.115   -754.78 -1468.28  -821.29   1170.85  1142.32  -851.05  0
1998-08-21T00:00:37.5  233.000434  -12.617  12.180  -3.008    8.261 -15.547  -2.581    0.093   -756.46 -1471.47  -813.99   1173.40  1145.05  -843.82  0
1998-08-21T00:00:42.5  233.000492  -12.612  12.161  -3.130    8.262 -15.530  -2.705    0.085   -758.12 -1474.64  -806.68   1175.93  1147.76  -836.58  0
1998-08-21T00:00:47.5  233.000550  -12.612  12.166  -3.256    8.261 -15.538  -2.830    0.110   -759.76 -1477.77  -799.36   1178.44  1150.45  -829.33  0
1998-08-21T00:00:52.5  233.000608  -12.576  12.150  -3.351    8.232 -15.514  -2.926    0.091   -761.39 -1480.88  -792.02   1180.92  1153.12  -822.05  0
1998-08-21T00:00:57.5  233.000666  -12.505  12.178  -3.490    8.156 -15.522  -3.064    0.108   -763.01 -1483.96  -784.67   1183.38  1155.76  -814.76  0
1998-08-21T00:01:02.5  233.000723  -12.485  12.099  -3.510    8.162 -15.441  -3.087    0.106   -764.61 -1487.01  -777.30   1185.82  1158.38  -807.46  0
1998-08-21T00:01:07.5  233.000781  -12.649  11.950  -3.293    8.363 -15.344  -2.872    0.104   -766.19 -1490.03  -769.91   1188.23  1160.98  -800.14  0
1998-08-21T00:01:12.5  233.000839  -12.825  11.794  -3.055    8.579 -15.244  -2.637    0.115   -767.76 -1493.01  -762.51   1190.62  1163.55  -792.80  0
1998-08-21T00:01:17.5  233.000897  -12.953  11.762  -2.986    8.711 -15.250  -2.567    0.107   -769.31 -1495.97  -755.09   1192.99  1166.10  -785.44  0
1998-08-21T00:01:22.5  233.000955  -12.973  11.692  -3.204    8.751 -15.196  -2.787    0.091   -770.85 -1498.90  -747.65   1195.33  1168.63  -778.07  0
1998-08-21T00:01:27.5  233.001013  -12.891  11.564  -3.314    8.713 -15.051  -2.901    0.108   -772.38 -1501.80  -740.20   1197.65  1171.13  -770.68  0
