1998-11-07T00:00:02.5  311.000029    3.553   2.936   9.284    1.609   4.454   9.220    0.405    736.57 -1578.31  -601.86   1463.88  -921.80  -634.94  0
1998-11-07T00:00:07.5  311.000087    4.978   2.244   9.401    3.183   4.656   9.294    0.393    737.68 -1580.72  -594.16   1466.35  -923.16  -627.29  0
1998-11-07T00:00:12.5  311.000145    5.159   2.084   8.424    3.397   4.615   8.312    0.255    738.78 -1583.10  -586.44   1468.78  -924.49  -619.63  0
1998-11-07T00:00:17.5  311.000203    5.521   1.183   8.643    4.198   4.060   8.513    0.165    739.86 -1585.45  -578.71   1471.18  -925.80  -611.95  0
1998-11-07T00:00:22.5  311.000260    5.828   0.464   8.802    4.852   3.627   8.658    0.289    740.92 -1587.77  -570.98   1473.55  -927.09  -604.27  0
1998-11-07T00:00:27.5  311.000318    6.143  -0.394   9.420    5.601   3.085   9.260    0.704    741.97 -1590.06  -563.23   1475.89  -928.37  -596.57  0
1998-11-07T00:00:32.5  311.000376    6.096  -1.191   9.761    6.006   2.394   9.594    0.123    743.01 -1592.31  -555.47   1478.21  -929.63  -588.86  0
1998-11-07T00:00:37.5  311.000434    5.492  -0.514   9.920    5.135   2.631   9.775    0.265    744.03 -1594.54  -547.71   1480.50  -930.87  -581.15  0
1998-11-07T00:00:42.5  311.000492    5.136  -0.302   9.975    4.723   2.615   9.840    0.163    745.04 -1596.74  -539.93   1482.76  -932.09  -573.42  0
1998-11-07T00:00:47.5  311.000550    5.242  -0.405   9.575    4.857   2.584   9.437    0.501    746.04 -1598.90  -532.15   1484.99  -933.30  -565.68  0
1998-11-07T00:00:52.5  311.000608    4.454  -0.337   7.906    4.117   2.200   7.789    0.367    747.02 -1601.04  -524.35   1487.19  -934.49  -557.94  0
1998-11-07T00:00:57.5  311.000666    5.132  -0.686   8.409    4.888   2.281   8.271    0.381    747.98 -1603.14  -516.54   1489.36  -935.66  -550.18  0
1998-11-07T00:01:02.5  311.000723    4.401  -0.173   8.352    3.994   2.311   8.238    0.423    748.93 -1605.21  -508.73   1491.51  -936.81  -542.41  0
1998-11-07T00:01:07.5  311.000781    3.647   0.311   9.094    3.119   2.308   9.002    0.165    749.87 -1607.25  -500.90   1493.62  -937.94  -534.62  0
1998-11-07T00:01:12.5  311.000839    3.383   1.063   9.652    2.500   2.796   9.574    0.383    750.78 -1609.25  -493.06   1495.70  -939.05  -526.83  0
