1998-11-09T00:00:02.5  313.000029   21.337   1.125  -1.941   10.470  18.584  -2.307    0.197     39.40  1364.40  1228.05  -1096.39   772.94  1253.69  1
1998-11-09T00:00:07.5  313.000087   20.841   1.450  -2.983    9.902  18.335  -3.334    0.089     39.52  1369.86  1221.95  -1101.09   775.94  1247.71  1
1998-11-09T00:00:12.5  313.000145   20.420   2.638  -3.272    8.666  18.619  -3.592    0.089     39.64  1375.29  1215.84  -1105.77   778.92  1241.70  1
1998-11-09T00:00:17.5  313.000203   20.382   3.039  -4.014    8.288  18.798  -4.324    0.200     39.76  1380.69  1209.70  -1110.43   781.88  1235.66  1
1998-11-09T00:00:22.5  313.000260   20.970   2.369  -3.486    9.183  18.937  -3.821    0.172     39.88  1386.06  1203.54  -1115.07   784.83  1229.61  1
1998-11-09T00:00:27.5  313.000318   21.698   1.366  -2.911   10.435  19.013  -3.278    0.323     40.00  1391.41  1197.35  -1119.68   787.76  1223.53  1
1998-11-09T00:00:32.5  313.000376   22.349   0.425  -1.924   11.603  19.062  -2.323    0.106     40.12  1396.73  1191.15  -1124.27   790.67  1217.43  1
1998-11-09T00:00:37.5  313.000434   22.447  -0.224  -1.257   12.220  18.798  -1.671    0.122     40.24  1402.02  1184.92  -1128.84   793.58  1211.31  1
1998-11-09T00:00:42.5  313.000492   21.872   0.988  -1.442   10.884  18.964  -1.821    0.200     40.36  1407.28  1178.67  -1133.39   796.46  1205.16  1
1998-11-09T00:00:47.5  313.000550   21.687   0.677  -1.539   11.044  18.641  -1.921    0.167     40.48  1412.52  1172.40  -1137.92   799.33  1198.99  1
1998-11-09T00:00:52.5  313.000608   21.680   1.101  -1.446   10.685  18.864  -1.819    0.125     40.59  1417.73  1166.10  -1142.42   802.19  1192.80  1
1998-11-09T00:00:57.5  313.000666   21.499   1.129  -0.945   10.578  18.729  -1.315    0.106     40.71  1422.91  1159.78  -1146.90   805.02  1186.58  1
1998-11-09T00:01:02.5  313.000723   21.729   0.679  -0.706   11.087  18.681  -1.089    0.198     40.82  1428.06  1153.44  -1151.36   807.85  1180.34  1
1998-11-09T00:01:07.5  313.000781   21.683   0.309  -0.250   11.385  18.447  -0.639    0.114     40.94  1433.18  1147.07  -1155.79   810.65  1174.07  1
1998-11-09T00:01:12.5  313.000839   21.567  -0.285   0.161   11.835  18.031  -0.238    0.111     41.05  1438.27  1140.68  -1160.20   813.44  1167.78  1
1998-11-09T00:01:17.5  313.000897   21.841  -1.922   1.347   13.393  17.388   0.911    0.356     41.17  1443.34  1134.26  -1164.59   816.21  1161.47  1
1998-11-09T00:01:22.5  313.000955   22.293  -2.383   3.060   14.069  17.530   2.606    0.139     41.28  1448.37  1127.83  -1168.95   818.97  1155.13  1
