P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980325::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980326::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980327::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980328::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980329::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980330::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980331::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980401::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980402::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980403::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980404::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980405::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980406::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980407::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980408::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980409::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980410::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980411::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980412::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980413::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980414::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980415::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980416::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980417::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980418::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980419::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980420::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980421::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980422::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980423::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980424::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980425::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980426::1.0
P,urn:nasa:pds:lp-mag-calibrated:data-lunarcrds:ma980427::1.0
