1999-01-22T00:00:02.5   22.000029    3.032  -6.212   0.064   -6.869   0.756   0.154    0.133   1713.02   400.31    23.91   -577.44 -1661.84   -10.82  1
1999-01-22T00:00:07.5   22.000087    2.555  -5.964   0.017   -6.406   1.027   0.109    0.123   1712.92   400.12    32.31   -577.44 -1661.86    -2.42  1
1999-01-22T00:00:12.5   22.000145    2.104  -5.816  -0.228   -6.042   1.335  -0.133    0.184   1712.78   399.92    40.70   -577.42 -1661.85     5.98  1
1999-01-22T00:00:17.5   22.000203    1.661  -5.657  -0.348   -5.672   1.627  -0.249    0.132   1712.60   399.72    49.10   -577.39 -1661.80    14.38  1
1999-01-22T00:00:22.5   22.000260    1.523  -5.927  -0.513   -5.828   1.892  -0.407    0.105   1712.38   399.50    57.49   -577.35 -1661.72    22.77  1
1999-01-22T00:00:27.5   22.000318    1.118  -5.675  -0.861   -5.403   2.108  -0.754    0.287   1712.13   399.28    65.87   -577.30 -1661.60    31.17  1
1999-01-22T00:00:32.5   22.000376    1.112  -6.014  -0.909   -5.686   2.296  -0.795    0.082   1711.84   399.04    74.26   -577.23 -1661.44    39.56  1
1999-01-22T00:00:37.5   22.000434    1.132  -6.282  -0.753   -5.921   2.418  -0.633    0.140   1711.51   398.80    82.64   -577.15 -1661.25    47.95  1
1999-01-22T00:00:42.5   22.000492    1.255  -6.809  -0.886   -6.434   2.599  -0.756    0.181   1711.14   398.55    91.02   -577.06 -1661.02    56.33  1
1999-01-22T00:00:47.5   22.000550    1.243  -7.126  -1.455   -6.701   2.792  -1.318    0.089   1710.74   398.30    99.40   -576.95 -1660.75    64.72  1
1999-01-22T00:00:52.5   22.000608    1.663  -7.200  -1.544   -6.989   2.479  -1.411    0.063   1710.30   398.03   107.77   -576.84 -1660.45    73.10  1
1999-01-22T00:00:57.5   22.000666    2.087  -7.012  -1.824   -7.060   2.027  -1.702    0.075   1709.82   397.75   116.14   -576.71 -1660.11    81.48  1
1999-01-22T00:01:02.5   22.000723    2.480  -6.883  -1.758   -7.161   1.624  -1.644    0.089   1709.30   397.47   124.51   -576.56 -1659.73    89.87  1
1999-01-22T00:01:07.5   22.000781    2.731  -6.601  -1.390   -7.052   1.253  -1.287    0.060   1708.74   397.17   132.88   -576.41 -1659.31    98.24  1
1999-01-22T00:01:12.5   22.000839    2.530  -6.717  -1.011   -7.039   1.475  -0.903    0.109   1708.14   396.87   141.25   -576.24 -1658.85   106.62  1
1999-01-22T00:01:17.5   22.000897    2.258  -6.663  -0.734   -6.845   1.669  -0.623    0.175   1707.50   396.55   149.61   -576.05 -1658.35   115.00  1
1999-01-22T00:01:22.5   22.000955    1.900  -6.765  -0.119   -6.733   2.011   0.000    0.097   1706.82   396.23   157.97   -575.85 -1657.82   123.37  1
1999-01-22T00:01:27.5   22.001013    1.233  -7.022  -0.067   -6.593   2.711   0.067    0.309   1706.10   395.90   166.33   -575.64 -1657.25   131.74  1
1999-01-22T00:01:32.5   22.001071    0.828  -7.431  -0.220   -6.724   3.275  -0.071    0.076   1705.35   395.56   174.68   -575.42 -1656.64   140.11  1
1999-01-22T00:01:37.5   22.001128    0.624  -7.692  -1.043   -6.845   3.606  -0.884    0.117   1704.56   395.21   183.03   -575.19 -1656.00   148.48  1
1999-01-22T00:01:42.5   22.001186    1.220  -7.731  -1.295   -7.199   3.131  -1.144    0.151   1703.73   394.86   191.37   -574.94 -1655.32   156.84  1
1999-01-22T00:01:47.5   22.001244    1.399  -7.717  -0.983   -7.279   2.964  -0.836    0.029   1702.87   394.49   199.72   -574.68 -1654.60   165.20  1
1999-01-22T00:01:52.5   22.001302    1.720  -7.978  -0.064   -7.663   2.810   0.084    0.199   1701.96   394.12   208.05   -574.41 -1653.85   173.56  1
1999-01-22T00:01:57.5   22.001360    1.323  -7.823  -0.143   -7.321   3.064   0.007    0.138   1701.02   393.73   216.39   -574.12 -1653.06   181.91  1
1999-01-22T00:02:02.5   22.001418    1.413  -7.668  -0.233   -7.238   2.907  -0.087    0.137   1700.04   393.34   224.71   -573.82 -1652.24   190.26  1
1999-01-22T00:02:07.5   22.001476    1.564  -7.703   0.035   -7.346   2.792   0.179    0.105   1699.02   392.94   233.04   -573.51 -1651.37   198.60  1
1999-01-22T00:02:12.5   22.001534    1.565  -7.712  -0.104   -7.355   2.798   0.040    0.072   1697.96   392.53   241.35   -573.18 -1650.46   206.94  1
1999-01-22T00:02:17.5   22.001591    1.481  -7.683  -0.064   -7.285   2.854   0.082    0.196   1696.86   392.11   249.66   -572.85 -1649.52   215.27  1
