1998-05-24T00:00:02.5  144.000029   -1.305   7.061  -1.206   -1.829  -6.933  -1.265    0.054  -1449.79   639.58   919.81   1008.86 -1202.80   944.72  0
1998-05-24T00:00:07.5  144.000087   -1.420   6.915  -1.338   -1.659  -6.851  -1.392    0.070  -1453.47   641.39   912.71   1011.60 -1205.99   937.68  0
1998-05-24T00:00:12.5  144.000145   -1.095   6.906  -1.443   -1.946  -6.702  -1.505    0.046  -1457.12   643.18   905.59   1014.33 -1209.16   930.63  0
1998-05-24T00:00:17.5  144.000203   -0.863   6.845  -1.646   -2.123  -6.547  -1.712    0.032  -1460.74   644.96   898.46   1017.03 -1212.30   923.56  0
1998-05-24T00:00:22.5  144.000260   -1.069   6.918  -1.617   -1.969  -6.702  -1.679    0.082  -1464.32   646.73   891.31   1019.70 -1215.41   916.47  0
1998-05-24T00:00:27.5  144.000318   -1.097   6.925  -1.644   -1.946  -6.720  -1.706    0.054  -1467.88   648.48   884.14   1022.36 -1218.50   909.36  0
1998-05-24T00:00:32.5  144.000376   -1.136   6.732  -1.561   -1.830  -6.563  -1.619    0.070  -1471.41   650.23   876.96   1025.00 -1221.57   902.24  0
1998-05-24T00:00:37.5  144.000434   -0.665   6.949  -1.414   -2.352  -6.557  -1.487    0.053  -1474.91   651.96   869.76   1027.62 -1224.62   895.10  0
1998-05-24T00:00:42.5  144.000492   -0.523   6.891  -1.629   -2.450  -6.442  -1.704    0.058  -1478.39   653.67   862.54   1030.22 -1227.64   887.95  0
1998-05-24T00:00:47.5  144.000550   -0.271   6.949  -1.764   -2.698  -6.387  -1.846    0.054  -1481.83   655.38   855.31   1032.80 -1230.63   880.77  0
1998-05-24T00:00:52.5  144.000608   -0.264   6.965  -2.410   -2.695  -6.397  -2.491    0.071  -1485.25   657.07   848.06   1035.36 -1233.61   873.58  0
1998-05-24T00:00:57.5  144.000666   -0.532   6.990  -2.159   -2.470  -6.535  -2.235    0.064  -1488.63   658.75   840.79   1037.90 -1236.55   866.38  0
1998-05-24T00:01:02.5  144.000723   -0.475   6.957  -2.199   -2.506  -6.481  -2.275    0.036  -1491.98   660.42   833.51   1040.41 -1239.48   859.15  0
1998-05-24T00:01:07.5  144.000781   -0.435   6.978  -2.158   -2.552  -6.482  -2.235    0.068  -1495.31   662.07   826.20   1042.91 -1242.37   851.91  0
1998-05-24T00:01:12.5  144.000839   -0.298   6.949  -2.248   -2.661  -6.398  -2.329    0.072  -1498.60   663.71   818.88   1045.38 -1245.24   844.65  0
1998-05-24T00:01:17.5  144.000897   -0.307   6.966  -1.910   -2.669  -6.417  -1.991    0.083  -1501.86   665.33   811.54   1047.83 -1248.09   837.36  0
1998-05-24T00:01:22.5  144.000955   -0.257   6.645  -2.343   -2.565  -6.105  -2.420    0.109  -1505.09   666.94   804.19   1050.26 -1250.91   830.07  0
1998-05-24T00:01:27.5  144.001013   -0.333   6.734  -2.072   -2.542  -6.219  -2.149    0.092  -1508.29   668.54   796.82   1052.67 -1253.70   822.75  0
1998-05-24T00:01:32.5  144.001071   -1.012   6.717  -1.576   -1.934  -6.496  -1.638    0.086  -1511.47   670.13   789.44   1055.06 -1256.48   815.42  0
1998-05-24T00:01:37.5  144.001128   -1.746   6.624  -0.429   -1.262  -6.730  -0.473    0.318  -1514.61   671.70   782.03   1057.43 -1259.22   808.08  0
1998-05-24T00:01:42.5  144.001186   -1.616   6.861  -0.044   -1.491  -6.889  -0.094    0.301  -1517.73   673.26   774.62   1059.78 -1261.95   800.72  0
1998-05-24T00:01:47.5  144.001244   -1.229   7.086  -0.895   -1.915  -6.924  -0.956    0.568  -1520.81   674.81   767.19   1062.11 -1264.65   793.34  0
1998-05-24T00:01:52.5  144.001302   -0.548   6.896  -1.854   -2.422  -6.458  -1.928    0.225  -1523.87   676.34   759.74   1064.42 -1267.32   785.95  0
1998-05-24T00:01:57.5  144.001360   -0.704   6.989  -1.675   -2.326  -6.610  -1.747    0.153  -1526.89   677.86   752.28   1066.71 -1269.97   778.54  0
1998-05-24T00:02:02.5  144.001418   -0.699   6.931  -1.824   -2.302  -6.554  -1.895    0.169  -1529.89   679.37   744.80   1068.98 -1272.60   771.12  0
1998-05-24T00:02:07.5  144.001476   -0.627   6.791  -2.020   -2.301  -6.397  -2.091    0.139  -1532.85   680.86   737.31   1071.22 -1275.19   763.68  0
1998-05-24T00:02:12.5  144.001534   -0.689   6.706  -2.121   -2.206  -6.347  -2.190    0.163  -1535.78   682.34   729.80   1073.44 -1277.76   756.22  0
1998-05-24T00:02:17.5  144.001591   -0.574   6.810  -1.982   -2.358  -6.391  -2.054    0.131  -1538.67   683.81   722.28   1075.64 -1280.31   748.75  0
