1998-05-08T00:00:02.5  128.000029   -0.074   0.948 -10.317    0.830   0.860 -10.292    0.494  -1598.20  -200.73  -892.46  -1318.60   898.96  -918.79  1
1998-05-08T00:00:07.5  128.000087   -0.747   1.810 -10.726    0.892   1.956 -10.690    0.026  -1602.17  -201.05  -885.34  -1322.01   901.22  -911.74  1
1998-05-08T00:00:12.5  128.000145   -0.437   0.822 -11.285    0.497   1.011 -11.267    0.200  -1606.10  -201.37  -878.20  -1325.40   903.47  -904.67  1
1998-05-08T00:00:17.5  128.000203   -0.257   0.773 -11.728    0.613   0.860 -11.709    0.132  -1610.01  -201.68  -871.05  -1328.76   905.70  -897.58  1
1998-05-08T00:00:22.5  128.000260   -0.476   0.417 -11.656    0.213   0.732 -11.648    0.181  -1613.88  -201.99  -863.89  -1332.09   907.91  -890.48  1
1998-05-08T00:00:27.5  128.000318   -0.266  -0.813 -11.545   -0.433  -0.338 -11.564    0.103  -1617.72  -202.29  -856.70  -1335.40   910.10  -883.36  1
1998-05-08T00:00:32.5  128.000376    0.016  -1.396 -11.945   -0.589  -0.960 -11.973    0.156  -1621.53  -202.60  -849.51  -1338.68   912.27  -876.22  1
1998-05-08T00:00:37.5  128.000434    0.028  -1.298 -12.422   -0.503  -0.889 -12.448    0.085  -1625.31  -202.89  -842.29  -1341.93   914.43  -869.07  1
1998-05-08T00:00:42.5  128.000492   -0.039  -0.938 -12.621   -0.315  -0.571 -12.639    0.032  -1629.06  -203.19  -835.06  -1345.16   916.57  -861.91  1
1998-05-08T00:00:47.5  128.000550    0.075  -0.505 -12.818    0.059  -0.315 -12.824    0.088  -1632.77  -203.48  -827.82  -1348.37   918.70  -854.72  1
1998-05-08T00:00:52.5  128.000608   -0.361   0.350 -12.923    0.289   0.617 -12.915    0.058  -1636.46  -203.76  -820.56  -1351.54   920.80  -847.52  1
1998-05-08T00:00:57.5  128.000666   -0.315   0.562 -12.795    0.459   0.747 -12.781    0.046  -1640.11  -204.05  -813.28  -1354.69   922.89  -840.31  1
1998-05-08T00:01:02.5  128.000723   -0.605   0.766 -12.809    0.373   1.091 -12.794    0.035  -1643.73  -204.32  -805.99  -1357.82   924.96  -833.07  1
1998-05-08T00:01:07.5  128.000781   -0.429   0.764 -12.997    0.510   0.977 -12.979    0.105  -1647.32  -204.60  -798.68  -1360.91   927.01  -825.82  1
1998-05-08T00:01:12.5  128.000839   -0.400   0.375 -13.019    0.278   0.663 -13.011    0.049  -1650.87  -204.87  -791.35  -1363.98   929.03  -818.55  1
1998-05-08T00:01:17.5  128.000897   -0.340   0.236 -13.197    0.238   0.520 -13.191    0.047  -1654.39  -205.13  -784.01  -1367.02   931.05  -811.27  1
1998-05-08T00:01:22.5  128.000955   -0.446   0.663 -13.003    0.431   0.911 -12.988    0.041  -1657.87  -205.39  -776.65  -1370.04   933.04  -803.96  1
1998-05-08T00:01:27.5  128.001013   -0.533   0.723 -12.941    0.402   1.013 -12.927    0.026  -1661.33  -205.65  -769.27  -1373.02   935.02  -796.65  1
1998-05-08T00:01:32.5  128.001071   -0.709   0.489 -12.910    0.116   0.950 -12.903    0.093  -1664.75  -205.90  -761.89  -1375.99   936.97  -789.31  1
1998-05-08T00:01:37.5  128.001128   -0.621   0.218 -12.721    0.001   0.686 -12.720    0.045  -1668.15  -206.15  -754.48  -1378.92   938.91  -781.96  1
1998-05-08T00:01:42.5  128.001186   -0.659   0.412 -12.426    0.091   0.855 -12.420    0.092  -1671.51  -206.39  -747.06  -1381.83   940.84  -774.60  1
1998-05-08T00:01:47.5  128.001244   -0.694   0.474 -12.200    0.099   0.922 -12.194    0.048  -1674.84  -206.64  -739.63  -1384.72   942.74  -767.22  1
1998-05-08T00:01:52.5  128.001302   -0.600   0.024 -12.067   -0.126   0.519 -12.070    0.039  -1678.14  -206.87  -732.18  -1387.57   944.63  -759.83  1
1998-05-08T00:01:57.5  128.001360   -0.733  -0.202 -12.248   -0.370   0.436 -12.258    0.093  -1681.40  -207.11  -724.72  -1390.40   946.50  -752.42  1
